Paires USD a agreger : 413
  [ 79/413] CLV/USD        9487 bougies 15m | 278s ecoules | ETA 20min
  [ 80/413] COMP/USD     127781 bougies 15m | 285s ecoules | ETA 20min
  [ 81/413] CORN/USD       7830 bougies 15m | 285s ecoules | ETA 20min
  [ 82/413] COTI/USD      58081 bougies 15m | 289s ecoules | ETA 19min
  [ 83/413] COW/USD       10754 bougies 15m | 290s ecoules | ETA 19min
  [ 84/413] CPOOL/USD     42381 bougies 15m | 292s ecoules | ETA 19min
  [ 85/413] CQT/USD       68374 bougies 15m | 297s ecoules | ETA 19min
  [ 86/413] CRO/USD       26127 bougies 15m | 298s ecoules | ETA 19min
  [ 87/413] CRV/USD      153748 bougies 15m | 308s ecoules | ETA 19min
  [ 88/413] CSM/USD       15231 bougies 15m | 309s ecoules | ETA 19min
  [ 89/413] CTSI/USD      52305 bougies 15m | 312s ecoules | ETA 19min
  [ 90/413] CVC/USD       25799 bougies 15m | 314s ecoules | ETA 19min
  [ 91/413] CVX/USD       54039 bougies 15m | 318s ecoules | ETA 19min
  [ 92/413] CXT/USD       26992 bougies 15m | 319s ecoules | ETA 19min
  [ 93/413] CYBER/USD      6792 bougies 15m | 320s ecoules | ETA 18min
  [ 94/413] DAI/USD      167681 bougies 15m | 331s ecoules | ETA 19min
  [ 95/413] DASH/USD     212345 bougies 15m | 344s ecoules | ETA 19min
  [ 96/413] DBR/USD       17206 bougies 15m | 345s ecoules | ETA 19min
  [ 97/413] DENT/USD      44629 bougies 15m | 348s ecoules | ETA 19min
  [ 98/413] DOGS/USD      12974 bougies 15m | 349s ecoules | ETA 19min
  [ 99/413] DOT/USD      187411 bougies 15m | 363s ecoules | ETA 19min
  [100/413] DRIFT/USD     28912 bougies 15m | 364s ecoules | ETA 19min
  [101/413] DRV/USD       19318 bougies 15m | 366s ecoules | ETA 19min
  [102/413] DUCK/USD       4274 bougies 15m | 366s ecoules | ETA 19min
  [103/413] DYDX/USD      94136 bougies 15m | 371s ecoules | ETA 19min
  [104/413] DYM/USD       45189 bougies 15m | 374s ecoules | ETA 19min
  [105/413] EDGE/USD      19917 bougies 15m | 375s ecoules | ETA 18min
  [106/413] EGLD/USD      77886 bougies 15m | 380s ecoules | ETA 18min
  [107/413] EIGEN/USD     41331 bougies 15m | 382s ecoules | ETA 18min
  [108/413] ELX/USD       17534 bougies 15m | 383s ecoules | ETA 18min
  [109/413] ENA/USD       47203 bougies 15m | 386s ecoules | ETA 18min
  [110/413] ENJ/USD      113912 bougies 15m | 393s ecoules | ETA 18min
  [111/413] ENS/USD       62129 bougies 15m | 396s ecoules | ETA 18min
  [112/413] EOS/USD      215271 bougies 15m | 410s ecoules | ETA 18min
  [113/413] ETC/USD      244587 bougies 15m | 425s ecoules | ETA 19min
  [114/413] ETHFI/USD     29181 bougies 15m | 426s ecoules | ETA 19min
  [115/413] ETHPY/USD      5195 bougies 15m | 427s ecoules | ETA 18min
  [116/413] ETH/USD      339125 bougies 15m | 463s ecoules | ETA 20min
  [117/413] ETHW/USD      61717 bougies 15m | 467s ecoules | ETA 20min
  [118/413] EUL/USD       37791 bougies 15m | 469s ecoules | ETA 20min
  [119/413] EUROP/USD      2398 bougies 15m | 469s ecoules | ETA 19min
  [120/413] EURQ/USD       8516 bougies 15m | 470s ecoules | ETA 19min
  [121/413] EURR/USD       5441 bougies 15m | 470s ecoules | ETA 19min
  [122/413] EURT/USD      15551 bougies 15m | 471s ecoules | ETA 19min
  [123/413] EUR/USD      201915 bougies 15m | 495s ecoules | ETA 19min
  [124/413] EWT/USD      123481 bougies 15m | 502s ecoules | ETA 20min
  [125/413] FARM/USD      27255 bougies 15m | 504s ecoules | ETA 19min
  [126/413] FARTCOIN/USD  32720 bougies 15m | 507s ecoules | ETA 19min
  [127/413] FET/USD      108070 bougies 15m | 514s ecoules | ETA 19min
  [128/413] FHE/USD       15494 bougies 15m | 515s ecoules | ETA 19min
  [129/413] FIDA/USD      51492 bougies 15m | 518s ecoules | ETA 19min
  [130/413] FIL/USD      165766 bougies 15m | 528s ecoules | ETA 19min
  [131/413] FIS/USD       27946 bougies 15m | 530s ecoules | ETA 19min
  [132/413] FLOKI/USD     40100 bougies 15m | 532s ecoules | ETA 19min
  [133/413] FLOW/USD     145425 bougies 15m | 541s ecoules | ETA 19min
  [134/413] FLR/USD       96038 bougies 15m | 547s ecoules | ETA 19min
  [135/413] FLUX/USD      28046 bougies 15m | 549s ecoules | ETA 19min
  [136/413] FORTH/USD     34456 bougies 15m | 551s ecoules | ETA 19min
  [137/413] FTM/USD       89654 bougies 15m | 556s ecoules | ETA 19min
  [138/413] FWOG/USD      33625 bougies 15m | 559s ecoules | ETA 19min
  [139/413] FXS/USD       56388 bougies 15m | 562s ecoules | ETA 18min
  [140/413] GALA/USD     120724 bougies 15m | 569s ecoules | ETA 18min
  [141/413] GAL/USD       31140 bougies 15m | 571s ecoules | ETA 18min
  [142/413] GARI/USD      50666 bougies 15m | 574s ecoules | ETA 18min
  [143/413] GBP/USD      189652 bougies 15m | 587s ecoules | ETA 18min
  [144/413] GFI/USD       26641 bougies 15m | 589s ecoules | ETA 18min
  [145/413] GHIBLI/USD    17900 bougies 15m | 590s ecoules | ETA 18min
  [146/413] GHST/USD      38200 bougies 15m | 593s ecoules | ETA 18min
  [147/413] GIGA/USD      38009 bougies 15m | 595s ecoules | ETA 18min
  [148/413] GLMR/USD      74893 bougies 15m | 599s ecoules | ETA 18min
  [149/413] GMT/USD       54102 bougies 15m | 603s ecoules | ETA 18min
  [150/413] GMX/USD       40355 bougies 15m | 605s ecoules | ETA 18min
  [151/413] GNO/USD      122547 bougies 15m | 613s ecoules | ETA 18min
  [152/413] GOAT/USD      24885 bougies 15m | 614s ecoules | ETA 18min
  [153/413] GRASS/USD     13313 bougies 15m | 615s ecoules | ETA 17min
  [154/413] GRIFFAIN/USD  25692 bougies 15m | 617s ecoules | ETA 17min
  [155/413] GRT/USD      154202 bougies 15m | 626s ecoules | ETA 17min
  [156/413] GST/USD       47026 bougies 15m | 628s ecoules | ETA 17min
  [157/413] GTC/USD       26286 bougies 15m | 630s ecoules | ETA 17min
  [158/413] GUN/USD       21240 bougies 15m | 632s ecoules | ETA 17min
  [159/413] G/USD          7061 bougies 15m | 632s ecoules | ETA 17min
  [160/413] HDX/USD       41570 bougies 15m | 635s ecoules | ETA 17min
  [161/413] HFT/USD       41095 bougies 15m | 637s ecoules | ETA 17min
  [162/413] HMSTR/USD      2686 bougies 15m | 637s ecoules | ETA 16min
  [163/413] HNT/USD       48939 bougies 15m | 640s ecoules | ETA 16min
  [164/413] HONEY/USD     34493 bougies 15m | 642s ecoules | ETA 16min
  [165/413] HPOS10I/USD   11435 bougies 15m | 643s ecoules | ETA 16min
  [166/413] ICP/USD      119193 bougies 15m | 650s ecoules | ETA 16min
  [167/413] ICX/USD      121553 bougies 15m | 657s ecoules | ETA 16min
  [168/413] IDEX/USD      31948 bougies 15m | 659s ecoules | ETA 16min
  [169/413] IMX/USD      102912 bougies 15m | 665s ecoules | ETA 16min
  [170/413] INJ/USD      119950 bougies 15m | 672s ecoules | ETA 16min
  [171/413] INTR/USD      23359 bougies 15m | 674s ecoules | ETA 16min
  [172/413] IP/USD        17611 bougies 15m | 675s ecoules | ETA 16min
  [173/413] JAILSTOOL/USD  16065 bougies 15m | 676s ecoules | ETA 16min
  [174/413] JASMY/USD     81221 bougies 15m | 681s ecoules | ETA 16min
  [175/413] JST/USD        5094 bougies 15m | 681s ecoules | ETA 15min
  [176/413] JTO/USD       44283 bougies 15m | 684s ecoules | ETA 15min
  [177/413] JUNO/USD      55272 bougies 15m | 687s ecoules | ETA 15min
  [178/413] JUP/USD       62922 bougies 15m | 691s ecoules | ETA 15min
  [179/413] KAITO/USD     26063 bougies 15m | 693s ecoules | ETA 15min
  [180/413] KAR/USD       56709 bougies 15m | 696s ecoules | ETA 15min
  [181/413] KAS/USD       39040 bougies 15m | 699s ecoules | ETA 15min
  [182/413] KAVA/USD     151401 bougies 15m | 707s ecoules | ETA 15min
  [183/413] KEEP/USD      81836 bougies 15m | 713s ecoules | ETA 15min
  [184/413] KERNEL/USD     9175 bougies 15m | 713s ecoules | ETA 15min
  [185/413] KEY/USD       59957 bougies 15m | 717s ecoules | ETA 15min
  [186/413] KILT/USD      54366 bougies 15m | 720s ecoules | ETA 15min
  [187/413] KINT/USD      39743 bougies 15m | 723s ecoules | ETA 15min
  [188/413] KIN/USD       61709 bougies 15m | 727s ecoules | ETA 14min
  [189/413] KMNO/USD      17245 bougies 15m | 728s ecoules | ETA 14min
  [190/413] KNC/USD       91470 bougies 15m | 734s ecoules | ETA 14min
  [191/413] KP3R/USD      44279 bougies 15m | 736s ecoules | ETA 14min
  [192/413] KSM/USD      166051 bougies 15m | 746s ecoules | ETA 14min
  [193/413] KUJI/USD      10844 bougies 15m | 747s ecoules | ETA 14min
  [194/413] K/USD           755 bougies 15m | 747s ecoules | ETA 14min
  [195/413] L3/USD        22461 bougies 15m | 748s ecoules | ETA 14min
  [196/413] LAYER/USD      8289 bougies 15m | 749s ecoules | ETA 14min
  [197/413] LCX/USD       81968 bougies 15m | 754s ecoules | ETA 14min
  [198/413] LDO/USD      105847 bougies 15m | 760s ecoules | ETA 14min
  [199/413] LINK/USD     209391 bougies 15m | 774s ecoules | ETA 14min
  [200/413] LIT/USD       16362 bougies 15m | 776s ecoules | ETA 14min
  [201/413] LMWR/USD      44004 bougies 15m | 778s ecoules | ETA 14min
  [202/413] LOCKIN/USD    21545 bougies 15m | 780s ecoules | ETA 14min
  [203/413] LPT/USD       77031 bougies 15m | 784s ecoules | ETA 14min
  [204/413] LQTY/USD       9004 bougies 15m | 785s ecoules | ETA 13min
  [205/413] LRC/USD       86162 bougies 15m | 790s ecoules | ETA 13min
  [206/413] LSETH/USD      3020 bougies 15m | 790s ecoules | ETA 13min
  [207/413] LSK/USD       92988 bougies 15m | 796s ecoules | ETA 13min
  [208/413] LTC/USD      313936 bougies 15m | 818s ecoules | ETA 13min
  [209/413] LUNA2/USD     75966 bougies 15m | 822s ecoules | ETA 13min
  [210/413] LUNA/USD     135493 bougies 15m | 831s ecoules | ETA 13min
  [211/413] MANA/USD     148384 bougies 15m | 840s ecoules | ETA 13min
  [212/413] MASK/USD      51345 bougies 15m | 843s ecoules | ETA 13min
  [213/413] MATIC/USD    133862 bougies 15m | 852s ecoules | ETA 13min
  [214/413] MC/USD        25007 bougies 15m | 854s ecoules | ETA 13min
  [215/413] MELANIA/USD   23745 bougies 15m | 855s ecoules | ETA 13min
  [216/413] MEME/USD      23146 bougies 15m | 857s ecoules | ETA 13min
  [217/413] METIS/USD      6805 bougies 15m | 857s ecoules | ETA 13min
  [218/413] ME/USD         6840 bougies 15m | 858s ecoules | ETA 13min
  [219/413] MEW/USD       26093 bougies 15m | 859s ecoules | ETA 13min
  [220/413] MICHI/USD     14411 bougies 15m | 860s ecoules | ETA 13min
  [221/413] MINA/USD     132573 bougies 15m | 868s ecoules | ETA 13min
  [222/413] MIR/USD       65073 bougies 15m | 872s ecoules | ETA 13min
  [223/413] MKR/USD       88614 bougies 15m | 877s ecoules | ETA 12min
  [224/413] MLN/USD      104270 bougies 15m | 884s ecoules | ETA 12min
  [225/413] MNGO/USD      38309 bougies 15m | 886s ecoules | ETA 12min
  [226/413] MNT/USD       28993 bougies 15m | 888s ecoules | ETA 12min
  [227/413] MOG/USD       43819 bougies 15m | 891s ecoules | ETA 12min
  [228/413] MOODENG/USD   24448 bougies 15m | 892s ecoules | ETA 12min
  [229/413] MOON/USD      45682 bougies 15m | 895s ecoules | ETA 12min
  [230/413] MORPHO/USD    34771 bougies 15m | 897s ecoules | ETA 12min
  [231/413] MOVE/USD       9609 bougies 15m | 898s ecoules | ETA 12min
  [232/413] MOVR/USD      86407 bougies 15m | 903s ecoules | ETA 12min
  [233/413] MPL/USD        4781 bougies 15m | 903s ecoules | ETA 12min
  [234/413] MSOL/USD      40233 bougies 15m | 906s ecoules | ETA 12min
  [235/413] MULTI/USD     46057 bougies 15m | 909s ecoules | ETA 11min
  [236/413] MV/USD        52810 bougies 15m | 912s ecoules | ETA 11min
  [237/413] MXC/USD       56392 bougies 15m | 916s ecoules | ETA 11min
  [238/413] NANO/USD     147018 bougies 15m | 925s ecoules | ETA 11min
  [239/413] NEAR/USD     110231 bougies 15m | 931s ecoules | ETA 11min
  [240/413] NEIRO/USD     23360 bougies 15m | 933s ecoules | ETA 11min
  [241/413] NIL/USD        7304 bougies 15m | 933s ecoules | ETA 11min
  [242/413] NMR/USD       30621 bougies 15m | 935s ecoules | ETA 11min
  [243/413] NODL/USD      36265 bougies 15m | 938s ecoules | ETA 11min
  [244/413] NOS/USD       37500 bougies 15m | 940s ecoules | ETA 11min
  [245/413] NOT/USD       12528 bougies 15m | 941s ecoules | ETA 11min
  [246/413] NTRN/USD      15100 bougies 15m | 942s ecoules | ETA 11min
  [247/413] NYM/USD       37764 bougies 15m | 944s ecoules | ETA 11min
  [248/413] OCEAN/USD    126342 bougies 15m | 952s ecoules | ETA 11min
  [249/413] ODOS/USD       9901 bougies 15m | 952s ecoules | ETA 10min
  [250/413] OGN/USD       57290 bougies 15m | 956s ecoules | ETA 10min
  [251/413] OMG/USD      124138 bougies 15m | 964s ecoules | ETA 10min
  [252/413] OMNI/USD       4572 bougies 15m | 964s ecoules | ETA 10min
  [253/413] OM/USD        25190 bougies 15m | 966s ecoules | ETA 10min
  [254/413] ONDO/USD      59141 bougies 15m | 969s ecoules | ETA 10min
  [255/413] OP/USD        67595 bougies 15m | 973s ecoules | ETA 10min
  [256/413] ORCA/USD      43414 bougies 15m | 976s ecoules | ETA 10min
  [257/413] OSMO/USD      22995 bougies 15m | 977s ecoules | ETA 10min
  [258/413] OXT/USD      109991 bougies 15m | 984s ecoules | ETA 10min
  [259/413] OXY/USD       38247 bougies 15m | 987s ecoules | ETA 10min
  [260/413] PARA/USD       8574 bougies 15m | 987s ecoules | ETA 10min
  [261/413] PAXG/USD     145659 bougies 15m | 996s ecoules | ETA 10min
  [262/413] PDA/USD        8914 bougies 15m | 996s ecoules | ETA 10min
  [263/413] PENDLE/USD    40931 bougies 15m | 999s ecoules | ETA 9min
  [264/413] PENGU/USD     31842 bougies 15m | 1001s ecoules | ETA 9min
  [265/413] PEPE/USD      87353 bougies 15m | 1007s ecoules | ETA 9min
  [266/413] PERP/USD      48658 bougies 15m | 1010s ecoules | ETA 9min
  [267/413] PHA/USD       86480 bougies 15m | 1016s ecoules | ETA 9min
  [268/413] PLA/USD        8354 bougies 15m | 1016s ecoules | ETA 9min
  [269/413] PNUT/USD      26041 bougies 15m | 1018s ecoules | ETA 9min
  [270/413] POLIS/USD     53385 bougies 15m | 1021s ecoules | ETA 9min
  [271/413] POLS/USD      27057 bougies 15m | 1023s ecoules | ETA 9min
  [272/413] POL/USD       45863 bougies 15m | 1026s ecoules | ETA 9min
  [273/413] POND/USD      32994 bougies 15m | 1028s ecoules | ETA 9min
  [274/413] PONKE/USD     25674 bougies 15m | 1029s ecoules | ETA 9min
  [275/413] POPCAT/USD    41961 bougies 15m | 1032s ecoules | ETA 9min
  [276/413] PORTAL/USD     9567 bougies 15m | 1033s ecoules | ETA 9min
  [277/413] POWR/USD      30743 bougies 15m | 1035s ecoules | ETA 8min
  [278/413] PRCL/USD      18433 bougies 15m | 1036s ecoules | ETA 8min
  [279/413] PRIME/USD     38348 bougies 15m | 1039s ecoules | ETA 8min
  [280/413] PROMPT/USD    17610 bougies 15m | 1040s ecoules | ETA 8min
  [281/413] PSTAKE/USD    18357 bougies 15m | 1041s ecoules | ETA 8min
  [282/413] PUFFER/USD    29895 bougies 15m | 1043s ecoules | ETA 8min
  [283/413] PYTH/USD      60633 bougies 15m | 1047s ecoules | ETA 8min
  [284/413] PYUSD/USD     41691 bougies 15m | 1050s ecoules | ETA 8min
  [285/413] QNT/USD      109476 bougies 15m | 1056s ecoules | ETA 8min
  [286/413] QTUM/USD     136225 bougies 15m | 1064s ecoules | ETA 8min
  [287/413] RAD/USD       34074 bougies 15m | 1066s ecoules | ETA 8min
  [288/413] RARE/USD      56441 bougies 15m | 1070s ecoules | ETA 8min
  [289/413] RARI/USD      75405 bougies 15m | 1075s ecoules | ETA 8min
  [290/413] RAY/USD       68980 bougies 15m | 1079s ecoules | ETA 8min
  [291/413] RBC/USD       47735 bougies 15m | 1082s ecoules | ETA 8min
  [292/413] RED/USD       13524 bougies 15m | 1083s ecoules | ETA 7min
  [293/413] RENDER/USD    48679 bougies 15m | 1086s ecoules | ETA 7min
  [294/413] REN/USD       78951 bougies 15m | 1091s ecoules | ETA 7min
  [295/413] REP/USD      108011 bougies 15m | 1098s ecoules | ETA 7min
  [296/413] REPV2/USD     80160 bougies 15m | 1103s ecoules | ETA 7min
  [297/413] REQ/USD       15049 bougies 15m | 1104s ecoules | ETA 7min
  [298/413] REZ/USD       25767 bougies 15m | 1106s ecoules | ETA 7min
  [299/413] RLC/USD       37657 bougies 15m | 1108s ecoules | ETA 7min
  [300/413] RLUSD/USD     17961 bougies 15m | 1109s ecoules | ETA 7min
  [301/413] RNDR/USD      61449 bougies 15m | 1113s ecoules | ETA 7min
  [302/413] ROOK/USD      12397 bougies 15m | 1114s ecoules | ETA 7min
  [303/413] RPL/USD       46634 bougies 15m | 1117s ecoules | ETA 7min
  [304/413] RSR/USD       24517 bougies 15m | 1119s ecoules | ETA 7min
  [305/413] RUNE/USD      95650 bougies 15m | 1124s ecoules | ETA 7min
  [306/413] SAFE/USD      15841 bougies 15m | 1125s ecoules | ETA 7min
  [307/413] SAGA/USD      35493 bougies 15m | 1127s ecoules | ETA 6min
  [308/413] SAMO/USD      52068 bougies 15m | 1131s ecoules | ETA 6min
  [309/413] SAND/USD     130949 bougies 15m | 1138s ecoules | ETA 6min
  [310/413] SBR/USD       71312 bougies 15m | 1143s ecoules | ETA 6min
  [311/413] SCRT/USD     111846 bougies 15m | 1149s ecoules | ETA 6min
  [312/413] SC/USD       157707 bougies 15m | 1159s ecoules | ETA 6min
